日付,目的,行先,交通手段,経路,金額,備考
2026-01-11,物件確認・郵便物回収,葛西マンション603,電車,自宅→葛西駅→物件,820,共用部の掲示板確認・ポスト確認
2026-01-11,物件確認の帰り（雨天）,葛西マンション603→自宅,タクシー,物件→自宅,2400,大雨のためタクシー利用。領収書あり
2026-01-18,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,入居者の契約更新について
2026-01-25,新規物件視察,江戸川区船堀,電車,自宅→船堀駅→物件,640,築20年RC・2LDK・2800万の物件。利回り低く見送り
2026-01-25,物件視察の帰り（資料持ち帰り）,船堀→自宅,タクシー,物件→自宅,2200,物件資料・間取り図など大量の紙資料持ち帰り
2026-01-30,都税事務所（固定資産評価確認）,江戸川都税事務所,電車,自宅→新小岩駅→都税事務所,960,葛西物件の固定資産評価額の確認・閲覧
2026-02-08,物件確認・清掃状況チェック,葛西マンション603,電車,自宅→葛西駅→物件,820,外壁のひび割れを発見。管理組合に報告要
2026-02-08,物件確認の帰り（資料持ち帰り）,葛西→自宅,タクシー,物件→自宅,2800,ひび割れ箇所の写真資料・管理組合書類の持ち帰り
2026-02-15,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,設備分離の相談・鑑定書の手配依頼
2026-02-22,確定申告セミナー参加,江戸川区総合文化センター,電車,自宅→新小岩駅,480,不動産投資家向け確定申告セミナー
2026-02-28,都税事務所（再建築費評点数内訳の取得）,江戸川都税事務所,電車,自宅→新小岩駅→都税事務所,960,設備分離のための再建築費評点数内訳を閲覧・メモ
2026-03-01,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,排水口の点検。問題なし
2026-03-08,税務署（青色申告承認申請書提出）,江戸川税務署,電車,自宅→平井駅→税務署,820,青色申告承認申請書の提出。控えに収受印を受領
2026-03-14,税理士との追加相談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,設備分離の評点数内訳をもとに償却計算の相談
2026-03-15,銀行との融資相談,千葉銀行 葛西支店,電車,自宅→葛西駅,820,2棟目に向けた融資枠の確認
2026-03-22,新規物件視察,市川市本八幡,電車,自宅→本八幡駅→物件,960,築22年RC・3DK・3200万。利回り7.2%。要検討
2026-03-22,物件視察の帰り（雨天）,本八幡→自宅,タクシー,物件→自宅,2800,雨天のためタクシー利用。領収書あり
2026-04-05,物件確認・管理組合総会,葛西マンション603,電車,自宅→葛西駅→物件,820,管理組合の通常総会に出席
2026-04-05,管理組合総会後の帰り（遅くなった）,葛西→自宅,タクシー,物件→自宅,2600,総会が20時過ぎまで延長。タクシーで帰宅
2026-04-12,法務局（登記簿謄本取得）,東京法務局江戸川出張所,電車,自宅→小岩駅→法務局,740,葛西物件の登記簿謄本の取得。設備分離の根拠資料
2026-04-19,新規物件視察,船橋市西船橋,電車,自宅→西船橋駅→物件,1120,築18年鉄骨・1K×6室・4500万。空室2室が気になる
2026-04-19,物件視察の帰り（荷物多い）,西船橋→自宅,タクシー,物件→自宅,3000,物件資料・管理規約コピーなど大量の荷物
2026-04-26,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,入居者からの設備修繕要望について
2026-05-10,物件確認・エアコン動作確認,葛西マンション603,電車,自宅→葛西駅→物件,820,夏前のエアコン動作チェック
2026-05-10,物件確認の帰り（暑い日）,葛西→自宅,タクシー,物件→自宅,2200,気温35度超の猛暑日。熱中症防止でタクシー利用
2026-05-17,不動産投資家交流会,東京駅周辺の貸会議室,電車,自宅→東京駅,640,投資家10名程度の情報交換会
2026-05-24,都税事務所（固定資産税通知確認）,江戸川都税事務所,電車,自宅→新小岩駅→都税事務所,960,固定資産税の課税明細書の内容確認
2026-05-31,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,設備分離の鑑定結果確認・償却計算の確認
2026-05-31,税理士面談の帰り（雨天）,新小岩→自宅,タクシー,税理士事務所→自宅,2200,雨天のためタクシー利用。領収書あり
2026-06-07,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,梅雨前の雨漏り確認。問題なし
2026-06-07,物件確認の帰り（梅雨・大雨）,葛西→自宅,タクシー,物件→自宅,2600,梅雨の大雨でタクシー利用。領収書あり
2026-06-14,銀行との融資相談（2棟目検討）,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件に向けた融資条件の事前確認
2026-06-21,新規物件視察,江戸川区一之江,電車,自宅→一之江駅→物件,540,築28年木造アパート・2200万。築古すぎて見送り
2026-06-21,物件視察の帰り（雨天）,一之江→自宅,タクシー,物件→自宅,2400,雨天のためタクシー利用。領収書あり
2026-06-28,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,エアコン不具合の対応方針について
2026-07-04,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,エアコン正常稼働確認
2026-07-04,物件確認の帰り（猛暑日）,葛西→自宅,タクシー,物件→自宅,2400,気温37度超の猛暑日。タクシー利用
2026-07-12,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,入居者の設備修繕対応の進捗確認
2026-07-18,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,退去時の原状回復費用の相場確認
2026-07-26,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,上半期の収支確認・下半期の経費計画
2026-07-26,税理士面談の帰り（猛暑）,新小岩→自宅,タクシー,税理士事務所→自宅,2800,猛暑日のためタクシー利用。領収書あり
2026-08-02,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,猛暑日の室内温度チェック・換気扇確認
2026-08-02,物件確認の帰り（猛暑日）,葛西→自宅,タクシー,物件→自宅,2400,気温38度超の猛暑日。タクシー利用
2026-08-16,不動産投資セミナー,新宿NSビル,電車,自宅→新宿駅,1240,「サラリーマン大家の融資戦略」セミナー
2026-08-16,セミナー後の帰り（猛暑）,新宿→自宅,タクシー,新宿→自宅,2600,猛暑日の夕方。体調を考慮しタクシー利用
2026-08-23,法務局（登記簿確認）,東京法務局墨田出張所,電車,自宅→錦糸町駅→法務局,740,両国物件の登記簿謄本確認。購入検討用
2026-08-30,新規物件視察,墨田区両国,電車,自宅→両国駅→物件,740,築15年RC・1LDK・2600万。駅近で立地◎。融資条件次第
2026-08-30,物件視察の帰り（雨天）,両国→自宅,タクシー,物件→自宅,2800,雨天のためタクシー利用。領収書あり
2026-09-05,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,台風後の外壁・ベランダ確認
2026-09-05,物件確認の帰り（台風後）,葛西→自宅,タクシー,物件→自宅,2600,台風直後で交通機関が乱れておりタクシー利用
2026-09-13,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,台風後の物件状態の報告・修繕方針の確認
2026-09-19,銀行との融資相談,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件の融資可否を打診
2026-09-19,銀行融資相談の帰り（雨天）,葛西→自宅,タクシー,銀行→自宅,2600,雨天のためタクシー利用。領収書あり
2026-09-27,不動産投資勉強会,品川区の貸会議室,電車,自宅→品川駅,960,不動産投資家15名の勉強会。融資戦略がテーマ
2026-10-03,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,排水管の定期清掃立ち会い
2026-10-11,銀行との融資相談（2回目）,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件の融資条件の詳細確認
2026-10-17,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,年末に向けた節税対策の確認
2026-10-24,新規物件視察,千葉県浦安市,電車,自宅→浦安駅→物件,680,築20年RC・2DK・2400万。管理費が高く見送り
2026-10-24,物件視察の帰り（タクシー）,浦安→自宅,タクシー,物件→自宅,3200,遠方のためタクシー利用。領収書あり
2026-11-07,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,暖房設備の動作確認
2026-11-15,不動産投資セミナー,渋谷区のセミナー会場,電車,自宅→渋谷駅,1240,「2027年の不動産市況展望」セミナー
2026-11-21,不動産投資家交流会,秋葉原の貸会議室,電車,自宅→秋葉原駅,540,投資家15名程度の忘年会兼情報交換
2026-11-21,交流会後の帰り（忘年会で遅くなった）,秋葉原→自宅,タクシー,秋葉原→自宅,3000,忘年会が22時過ぎまで。タクシーで帰宅
2026-11-28,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,確定申告の準備方針・必要書類の確認
2026-12-05,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,年末の物件状態最終確認
2026-12-05,物件確認の帰り（荷物多い）,葛西→自宅,タクシー,物件→自宅,2600,年末確認の資料・管理組合書類の持ち帰り
2026-12-13,管理会社との年末打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,年末の入居状況確認・来年の管理方針の事前協議
2026-12-19,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,確定申告の準備・書類確認
2026-12-19,税理士面談の帰り（資料持ち帰り）,新小岩→自宅,タクシー,税理士事務所→自宅,2600,確定申告用の書類・資料を大量に持ち帰り
2026-12-26,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,年末の入居状況確認・来年の管理方針
2026-12-26,年末挨拶の帰り（タクシー）,葛西→自宅,タクシー,管理会社→自宅,3200,年末挨拶の手土産等の荷物がありタクシー利用
